Food Name,Calories,Protein (g),Carbs (g),Fat (g),Rasa,Virya,Vipaka,Dosha Impact,Suitable For,Benefits,Dish Name,Main Ingredients,Ayurvedic Properties,Diabetes Management Benefits,Calories (per serving),Glycemic Index Estimate,Meal Timing Suggestion,Portion Size Recommendation,Notes,Calories_per_100g,Category
1 handful of 2 Steamed Dhokla,125,3.8,24.44,5.34,Tikta,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 dosa with coconut chutney,"Spices, Low-fat Dairy, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,231,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,157.78,Lunch
1 handful of brown rice with sambar,115,3.08,16.77,2.86,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Dalia,"Legumes, Vegetables, Leafy Greens","High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,412,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,110.59,Lunch
small plate of Boiled Rajma Chaat with Tomatoes,20,0.61,1.78,0.46,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Vegetables","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,121,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,19.6,Lunch
2 bowls of 2 roti with chickpea sabji and salad,85,3.79,20.51,1.15,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Tomato Rasam,"Low-fat Dairy, Whole Grains, Legumes","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,326,49,Dinner,1 medium serving,Consume freshly prepared for best benefits,111.07,Dinner
1 handful of 2 roti with soya bhurji,23,0.96,3.45,0.18,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Radish Paratha,"Spices, Legumes, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,119,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,24.35,Snack
small plate of 3 rava idli with coconut chutney,35,0.7,9.24,0.3,Kashaya,Sheeta,Katu,Balances Pitta,Weight Loss,"Low in calories, good for hydration, and balances Pitta",2 Moong Dal Chilla,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,162,39,Breakfast,1 medium serving,Consume freshly prepared for best benefits,41.75,Dinner
1 cup of Low-Fat Vegetable Pulao,128,2.77,25.88,1.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Green Peas Curry,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,130,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,133.93,Snack
small plate of 2 moong dal chilla,20,0.84,3.41,1.27,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 poori with peas sabji,"Low-fat Dairy, Whole Grains, Legumes","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,241,53,Breakfast,1 medium serving,Consume freshly prepared for best benefits,28.02,Beverage
Tulsi infused 2 idlis of Vegetable Soup,39,1.09,6.63,0.26,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",1 bowl of Vegetable pulav,"Vegetables, Leafy Greens, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,187,51,Lunch,1 medium serving,Consume freshly prepared for best benefits,30.92,Dinner
2 idlis of brown rice with matki sambar,142,2.86,31.2,4.12,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Low-fat Paneer Tikka,"Leafy Greens, Legumes, Spices","Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,396,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,109.95,Breakfast
2 bowls of 2 Multigrain Roti with Mixed Vegetable Curry,49,2.06,8.98,0.36,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti and green leaf curry,"Spices, Low-fat Dairy, Legumes","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,143,55,Dinner,1 medium serving,Consume freshly prepared for best benefits,56.63,Beverage
Ashwagandha infused ½ bowl of brown rice and sambar,117,2.32,23.75,0.45,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Ashwagandha enhances immunity & digestion",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Supports Ashwagandha benefits",Helps regulate blood sugar and provides balanced nutrition,213,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,101.4,Snack
Amla infused 2 idlis of Oats Upma,112,4.59,28.44,3.62,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",1 bowl of Vegetable Oats Kichadi,"Vegetables, Legumes, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,179,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,143.59,Dinner
1 handful of curd,103,4.49,24.97,0.7,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 jowar roti Baingan Bharta ,"Vegetables, Low-fat Dairy, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,213,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,101.37,Lunch
1 cup of 2 chapati and Ridge Gourd Curry,30,0.8,6.82,0.21,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice Beetroot Poriyal,"Whole Grains, Legumes, Vegetables","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,202,55,Dinner,1 medium serving,Consume freshly prepared for best benefits,34.46,Breakfast
1 handful of brown rice with sambar,152,3.18,20.52,3.94,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Dalia,"Legumes, Vegetables, Leafy Greens","High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,409,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,147.57,Dinner
½ bowl of 3 rava idli with coconut chutney,33,0.79,6.03,0.33,Kashaya,Sheeta,Katu,Balances Pitta,Weight Loss,"Low in calories, good for hydration, and balances Pitta",2 Moong Dal Chilla,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,132,39,Breakfast,1 medium serving,Consume freshly prepared for best benefits,32.97,Snack
Brahmi infused 1 cup of 2 roti with chickpea sabji and salad,72,3.2,18.52,1.14,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Brahmi enhances immunity & digestion",1 bowl of rice and Tomato Rasam,"Low-fat Dairy, Whole Grains, Legumes","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Supports Brahmi benefits",Helps regulate blood sugar and provides balanced nutrition,342,49,Dinner,1 medium serving,Consume freshly prepared for best benefits,79.72,Dinner
small plate of salad,20,1.11,2.69,0.16,Tikta,Ushna,Katu,Balances Kapha & Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl Vegetable Khichdi,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,374,55,Lunch,1 medium serving,Consume freshly prepared for best benefits,16.5,Lunch
Brahmi infused 1 paratha of 2 roti with paneer burji,35,1.89,9.85,0.35,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Brahmi enhances immunity & digestion",1 bowl of  rice Vegetable Sambar,"Low-fat Dairy, Vegetables, Legumes","Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption; Supports Brahmi benefits",Helps regulate blood sugar and provides balanced nutrition,225,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,46.93,Snack
2 bowls of 2 palak paratha with chutney,115,7.9,21.24,0.62,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Brown Rice Pulao,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,240,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,117.88,Breakfast
2 idlis of rice and sambar,44,0.89,12.86,0.19,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti sabji and Sprouted Moong Salad,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,270,52,Lunch,1 medium serving,Consume freshly prepared for best benefits,37.74,Snack
Brahmi infused 2 idlis of poha,20,0.55,2.67,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"Cools the body, supports weight loss, and improves digestion; Brahmi enhances immunity & digestion",2 besan chilla with ghee,"Legumes, Whole Grains, Spices","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Stimulates digestion and helps in blood sugar regulation; Supports Brahmi benefits",Helps regulate blood sugar and provides balanced nutrition,312,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,18.02,Snack
1 cup of 2 roti with  chana sabji,22,0.5,3.77,0.11,Amla,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with methi sabji,"Whole Grains, Low-fat Dairy, Leafy Greens","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,159,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,18.04,Dinner
